~,CAT,RY,FRSX,KO,GE,AMT,MMM,TWTR,NNDM,EBAY,PYPL,CMRX,MO,BAC,AGLE,WBA,PG,TWST,TMO,RTX,HD,FB,GS,MS,FNKO,UNH,RUT,NVCN,PFE,JNJ,CSCO,NMRK,AAPL,FARM,MA,SCOR,SCON,FordMotor,BMY,HDB,NMRD,DVAX,TMUS,GOOG,SDC,BBI,FDX,V,NVCR,FRTA,UPS,UHT,NEE,INTC,FNLC,MCD,FEYE,AXP,PM,IBM,DEO,NFLX,MSFT,N225,TSLA,RIO,FARO,SLAB,KLXE,JPM,TD,MCFT,SNP,CIIC,CVX,BA,FNJN,VZ,USB-PO,DIS,MRK,CVS,UVV,TRV,NKE,ATEC,LOW,XOM,BBQ,IFRX,OPTT,IBKC,EXAS,PIXY,DHR,ATINC,EXC,WMT,TM,CVCO
CAT,1.0,0.8132036449092177,0.40946105010653794,0.6588247475031598,0.8369833643207449,-0.13501039728993805,0.8474211424171257,0.11676746563177885,0.3251329293385727,0.02254610671717663,0.02836359371098917,0.06605833460226102,0.7340020690813548,0.9214739776414957,0.5879975419550744,0.8292275922777254,0.5325550466815947,-0.44412035887727774,0.3133203431516766,0.86579505433795,0.4841032575146307,0.6573142031214935,0.8591443634912709,0.8722905213662825,0.3850659642111902,0.3806595801743888,0.8597451232551595,0.3823029970901482,0.5208632920153051,0.21731226381836882,0.43244597691488673,0.8646252913006067,0.20195442077585024,0.5937485239931195,0.5985615603016451,0.2813974058226185,-0.0987615255804639,0.668411592133319,0.28901333746865643,0.7798292924029914,-0.22419960256680618,0.6940597115861894,-0.21901258308407562,0.43398371295198224,-0.5790140781924298,-0.053710370160448107,0.7174430309819476,0.5836602754938064,0.42611804772767803,0.5450538699744347,0.6387459336401934,0.6479752590665716,0.2663932539175626,0.37845052672959895,0.8819449590659095,0.45880636304346095,0.9116899467464081,0.7493700564440999,0.7111552296155622,0.648874322222229,0.66651563228916,-0.31951651013542265,0.008043149477648804,0.880224436725297,-0.1857097722932428,0.768352362809323,0.38296753926294524,0.7578080232134955,0.21311345420336472,0.8965438438511524,0.7701377532912008,0.572759273694377,0.49423803438065916,-0.2265839181187294,0.7049616802880969,0.6764715464450977,0.6199462325527626,0.7507427182134203,0.5627642457219462,0.8171828409445258,0.7504762045019441,0.6474618353601902,0.6567198625202149,0.5528100411837732,0.7273795215071506,0.7689259090788635,0.716957659317454,0.676127473517821,0.6370018706956775,-0.1555695756382756,0.24614536828527284,0.7514842215842136,0.33126303336547624,0.1777136129546246,0.22676675581955968,0.7431886928192615,0.5980044060044717,0.044870645084096404,0.8264214547971913,0.6180101386253412
RY,0.8132036449092177,1.0,0.6542041060874652,0.8303620340140038,0.8249650024114292,-0.2220297049852387,0.8401180314731621,0.5685704469954024,0.6395269757014614,0.27247057851065115,-0.0358133617804177,0.22850469322118333,0.7625329038641906,0.8776397851869853,0.68661647014267,0.8509316077942736,0.42563875271228824,-0.4279888102776221,-0.06547734702641612,0.9333086058723099,0.5334848493323835,0.4922970161157062,0.8380651223397039,0.7604745067437284,0.710165770211944,0.011272605413303443,0.9416641085387445,0.5753841479106838,0.502077357858347,-0.0552063013107168,0.63278106627154,0.8837710347456743,-0.14148493058949727,0.7987689767894122,0.5306614482535715,0.278529902285748,0.24128218639771987,0.8993026195941793,-0.07334821322695777,0.9191104655361938,0.12854827993053725,0.5051380351910679,-0.3602742589276311,0.21305598751044624,-0.14663560631394607,0.3742436129281068,0.8625834623186335,0.5186334516754282,0.40710931046284626,0.3718747890501546,0.6621471213925582,0.4640998275949695,0.12166505374026788,0.02375980598015816,0.8972567676756513,0.7739405683773848,0.8928091224589368,0.9378666949355563,0.6886549541887489,0.8527727491165314,0.8814492319837349,-0.5649549354440236,-0.317699652278881,0.7577261403175928,-0.4496059168655239,0.7614295547457811,0.3773778449232723,0.7781345755291301,0.49645169813907414,0.8482306331323471,0.9799392095823558,0.8063515910786027,0.6976953760724144,-0.21974724765772732,0.8943214405351789,0.9510063766644269,0.8423078069287118,0.6795838204386174,0.560640510954736,0.9155557114581727,0.6857220173122668,0.3856041180983769,0.7968583903835242,0.8661635192169178,0.5426628420956007,0.6864065077384288,0.6460615953580836,0.8863360755126943,0.9192749206074997,-0.06952360093828755,0.6148521942438113,0.9738644325777711,0.6071576218769781,0.5361817569750974,-0.019247090247439508,0.7953949752710521,0.8943214947904666,-0.3014358141347304,0.7302192057575614,0.6934743973578422
FRSX,0.40946105010653794,0.6542041060874652,1.0,0.47927436447043226,0.32123337265426455,-0.30935249660088127,0.6211188461400071,0.7040423047298141,0.6257937595512606,0.5999894627364899,0.05128014333337385,0.4502021393970412,0.42167267787446755,0.41355031066467834,0.5792189676164056,0.5354383070263766,0.19253577988929793,-0.01910104884807106,-0.3022864626578574,0.4813217752586822,0.3727696698280362,0.3017432378486419,0.48980482833550376,0.25570550444477735,0.7999423592659506,-0.29271580142926457,0.5669437598457424,0.3846259376703951,0.398734429379291,-0.3235446179604952,0.6834519539819643,0.4379558556721549,-0.4418353511251221,0.5345139779323399,0.17420280068958816,-0.1256429357775747,0.583988918462936,0.7260793917691113,-0.47265930874171835,0.538144865549816,0.4773480998904714,-0.012933188895144903,-0.36223735834301346,-0.13988974338535845,0.09143080125314035,0.5465615358970549,0.7034988010674609,0.22182930495121642,0.30814438126934074,-0.10815733374538669,0.5735551531576315,0.005732999519097748,-0.2513819263534682,-0.30042011404875313,0.4500266560855307,0.7350684463679602,0.48307586308097866,0.6397475168220502,0.3032984438069493,0.6992409318572868,0.7067768343670079,-0.4738292274819772,-0.46654136765353194,0.36614889596824457,-0.5842626055561086,0.4873562895319017,0.2075209136872848,0.648943984925046,0.5675734664601138,0.343523213664106,0.7196655253887675,0.4995163792606642,0.6373562145770442,-0.8400303668623883,0.7648388440583668,0.709217529792456,0.6380804394659357,0.279527358185036,0.3842914138980848,0.6391283367759302,0.4191387511524481,-0.050199119884475056,0.6962247832978182,0.7520763056464127,0.12775546767440563,0.27149980959952336,0.29646502575688294,0.7571896823303026,0.7418309065908893,-0.21636835324554737,0.6947362512667343,0.6954906747874265,0.7803730846570915,0.747169175702812,-0.17319817543400412,0.3805543132466611,0.6071125857126376,-0.2594756564237722,0.3459688462501075,0.3072695798547857
KO,0.6588247475031598,0.8303620340140038,0.47927436447043226,1.0,0.7846822051460267,0.2540135269154473,0.6310752951141564,0.5555088457861675,0.2567860303029302,0.2534661905877881,0.04478396578772231,-0.06763306087134796,0.5755333593401756,0.8259299871278596,0.6747764075673179,0.6110051705608279,0.6903883736126639,-0.25387868321697543,0.2018014819932158,0.8853046322089468,0.6744208569479648,0.56083919746347,0.872101671058583,0.8034059095848275,0.4566872709027991,0.22912616538123104,0.8650412046680155,0.24208602672786786,0.22138916868950934,0.17183755927649924,0.3293147619159654,0.8188744051513304,0.19450381803692987,0.47681726590959284,0.7944890808162,0.03305430319579118,0.010077761719733503,0.644196203775016,0.2283655464633258,0.6910625153310553,-0.18500647499553963,0.45268527571697703,-0.051935712683623174,0.5088358400341618,-0.537560774558314,0.10571345905117775,0.6417651226955111,0.7750051266583634,0.6604909768936488,0.6250244335615678,0.5661235120292024,0.6719558185593635,0.5270915606497237,0.2988172500909072,0.8252289832590355,0.8068485716544292,0.7278034389655608,0.8609152963027783,0.7291273485471077,0.8109484017308151,0.6981796073629466,-0.41869915064189567,0.04673889831780873,0.6001868898331363,-0.07046828139104168,0.4968235444608931,0.6098444406708002,0.703384155332212,0.1216072917049223,0.8404541875747833,0.7699053395260453,0.5911709629670493,0.3546189090290165,-0.5979479485742305,0.6535601672102765,0.7459066863786874,0.5871670378773979,0.6317093179324784,0.6184606456525229,0.7523649682169437,0.7172779126080527,0.5346629896950268,0.5199069558606302,0.6796902133641012,0.683513243896561,0.7779593282134375,0.74646552300675,0.5981888378575405,0.7489639863606574,-0.22776929817770983,0.2683462448535757,0.7779902087542716,0.4822625876012441,0.23027320822085817,0.2974465317263942,0.8507154902006487,0.7774977254643323,-0.1180723729681025,0.771578438003712,0.8731901786216129
GE,0.8369833643207449,0.8249650024114292,0.32123337265426455,0.7846822051460267,1.0,-0.08892846894119442,0.7172255650616582,0.22376028243640306,0.30236091242506563,-0.06018865596175321,0.03685191820297209,0.09673334659887244,0.7476988459649284,0.9089480512839012,0.4978547070194794,0.7379268014319359,0.41717046593912244,-0.3854516046780545,0.22348357870988098,0.9048312699382818,0.40578223261020024,0.6015048331373555,0.8551011306041314,0.8971224414507623,0.36085736036784954,0.3617348512453737,0.8740109531467419,0.33718877953702475,0.42873072560965014,0.23123327616367287,0.42301897463741334,0.9043247447996955,0.21326608508068162,0.6390565819119699,0.7075599225695115,0.39852977017262,-0.030947866523469578,0.6764581528175103,0.2585146284357762,0.8121967013320944,-0.24092153527563367,0.6009843527850541,-0.188489967354935,0.45619898642519546,-0.5435110749474669,0.03464997810244136,0.697661646361072,0.6761198714067874,0.43685386345820537,0.638987199999851,0.43627981300451607,0.603193294262554,0.3684483190966772,0.34577426696067026,0.8532234306780468,0.5535155503541564,0.8771932440904281,0.858922280395063,0.7975329913396519,0.6972357114454182,0.6510555103985651,-0.25518055683541235,0.034063748909406895,0.7368396990139287,-0.07576305602250688,0.7149571791584628,0.46674982002809395,0.5730322038160096,0.23431556507900655,0.905303423608239,0.7840307837341223,0.7098158093436072,0.44942380981385305,0.05992863219490499,0.6195023859256313,0.7022055221351053,0.6407370655397172,0.5156908671440705,0.45595820790643654,0.8116009056008097,0.6167119045587411,0.539041585592462,0.6000976129662903,0.6055256852629297,0.6458036255412614,0.7480977079846783,0.6391803132794154,0.6135600282989576,0.6532163960979731,-0.07420431828366855,0.22228142771640572,0.7755034991405002,0.34295117109884915,0.15144562993445554,0.22822434162278069,0.731456626663386,0.7055284716066376,-0.2654983742417871,0.7397838311208643,0.7104229186067894
AMT,-0.13501039728993805,-0.2220297049852387,-0.30935249660088127,0.2540135269154473,-0.08892846894119442,1.0,-0.27016120344212213,-0.054608720984539706,-0.6066049438390123,0.11636671875692756,0.3214926830967431,-0.47733033863153773,-0.3234191218643409,-0.03949477053617963,0.05200760141992638,-0.40566250089561323,0.516088610151495,0.3131583550110704,0.6252254506002547,-0.05450196247761188,0.4250566235806233,0.2712768135485575,0.11230421791405452,0.16096495944442504,-0.4892244482270487,0.503445580199072,-0.07347234294567291,-0.4225608490174015,-0.30285603632326824,0.5977209395283641,-0.42647303023492217,-0.16146849480180855,0.654408028317955,-0.5099027839144478,0.4934780383572965,-0.34623306420338745,-0.4449387909916229,-0.4392688297351457,0.6294926718955266,-0.3513492609478289,-0.5611634089615581,-0.024974917790601313,0.7083931899206907,0.5972788002702313,-0.22341851332172147,-0.49034691063769664,-0.36636279725124177,0.49206585069161596,0.358743185270684,0.45660417450240987,-0.147778459762499,0.4725161352087854,0.7656448013181743,0.6014164355055568,-0.0971128307897908,0.08614572081623825,-0.21763238505404456,-0.14454828805795686,0.0812229230865258,0.013905186550522348,-0.24652633742112792,0.39412851049948344,0.7484447995359504,-0.09806284318035144,0.7256465909976559,-0.3354601116504206,0.45041066959532927,-0.04114355299007112,-0.6259716575132067,0.01949131270081803,-0.32376721278649606,-0.32125684975560187,-0.5184854808248469,-0.2353660531143794,-0.3228770237472488,-0.34332222237933446,-0.36919710391630706,0.11766282795588344,0.2998776132074297,-0.265582345861826,0.13423396984732802,0.32837321885493415,-0.4283313680260107,-0.3212204077877153,0.4234675482902253,0.16935746874947252,0.32351064195900714,-0.445846853558037,-0.2830024007610092,-0.2136194767567282,-0.5544733543042257,-0.3145140669592258,-0.2000217913896923,-0.500690038886053,0.708362126235933,0.08873289333510255,-0.14169602218550995,0.5236341493920791,0.1224631998745723,0.2864432835517482
MMM,0.8474211424171257,0.8401180314731621,0.6211188461400071,0.6310752951141564,0.7172255650616582,-0.27016120344212213,1.0,0.4305592110047952,0.6267069454289433,0.34312124795555,0.11338727582562265,0.39209507978415703,0.8488533874469649,0.807833320045043,0.6414383448436684,0.81298987713667,0.33974069591504696,-0.373377029947866,0.06972975479068055,0.8080575822042956,0.38058394607519436,0.587628050011846,0.7988711282217769,0.7155459559847992,0.7054787994145096,0.1811463166515602,0.8679298825958704,0.6047335704035526,0.712914595294782,0.08195575776029,0.7253034393685338,0.770656336107213,-0.1360176909830161,0.7583234222180749,0.4356016613100257,0.39478397656406816,0.31737816983729084,0.8662491162019578,-0.05965262650107592,0.8524728785070865,0.10320675080064795,0.5177342191590779,-0.4278561157932993,0.16179938579483444,-0.3803282087195853,0.31915171724813957,0.8604299349457482,0.45151232640859046,0.314016916353512,0.25160419731817285,0.6609916838656016,0.33890363003984547,-0.05519157126011724,0.016330341509281775,0.7892684310783041,0.6595829756472406,0.8506595381958433,0.8329152884652927,0.6567249800904026,0.7360890699332221,0.864695799968264,-0.38837955898854193,-0.2874580965992356,0.7364416841091935,-0.4635365151463082,0.8681342110734833,0.3613910446010635,0.8311708383954232,0.5509662293611064,0.7399672549166275,0.8582342507012675,0.7130742651584351,0.7658484009915864,-0.16012260959428157,0.8914591303878093,0.7928391741400798,0.8249675073232141,0.6543134417883997,0.6285146495098628,0.890224607978317,0.7615086507149731,0.34912507671576665,0.8572008532071602,0.7806498881038816,0.5010980430927744,0.6005224531728858,0.575900568313221,0.8803288828685216,0.7153067671517449,-0.03898303526764979,0.5646299342777705,0.8573618132442348,0.6433487935598312,0.526007406878632,0.08476075894718878,0.6147866901039182,0.7386253085733081,-0.21871011330725112,0.6267584751180278,0.46628912295584907
TWTR,0.11676746563177885,0.5685704469954024,0.7040423047298141,0.5555088457861675,0.22376028243640306,-0.054608720984539706,0.4305592110047952,1.0,0.6102686655117459,0.681168027803431,0.05611558976128802,0.39165603560258966,0.3174620585450888,0.27227489836231816,0.5335347622809372,0.29922192121572344,0.11452402016022299,0.07415275308092381,-0.4035256534206879,0.40760590603979346,0.3354936720468052,0.12136991716309464,0.3651759339934479,0.15397202764443446,0.7913031474948589,-0.39188242645410376,0.4975697361837191,0.42615180097235994,0.24734201246332072,-0.2815516827464036,0.6207762531962324,0.30245110790885105,-0.49868675748244123,0.5144305690798828,0.19803108272231915,0.011021443383013911,0.6864028915004537,0.6642521249960983,-0.5028463448431392,0.4276046295845643,0.48453925338412496,-0.08571281511763439,-0.24192753595079033,-0.16144653565876407,0.4952908423317371,0.7140387606703894,0.625635050012861,0.20678406008849115,0.25587628430238696,-0.14098365441087804,0.39825594682416865,-0.08650087393004678,-0.16210759731377067,-0.41502658979248896,0.33801314555399115,0.8502572229237964,0.27506463491999483,0.6173152280437727,0.18968590925583617,0.7010592722145537,0.6909399167773072,-0.4336057352404662,-0.46400080116858167,0.09280802077655602,-0.501113202578945,0.3537411000682747,0.3117167001557649,0.5033972602798288,0.5673600117904752,0.2274821971714931,0.6271661836533599,0.5315361394232447,0.6019019546532851,-0.3697568750341819,0.6667946591558339,0.6942178396737673,0.6283182931872463,0.2190933096584401,0.38752856585067497,0.5264985505056251,0.3169046257660283,-0.19685518267093371,0.5614129231502019,0.7978123019593422,0.049806828384666435,0.14075426042691505,0.241224438566699,0.6634183687657804,0.6253357778644788,0.012082520182486624,0.7213409939596565,0.6491837863567554,0.8096898036920093,0.7342665500301891,-0.1483894260260707,0.3135741040834301,0.7268785209812003,-0.4435614900115617,0.16264072587272174,0.3380677387091399
NNDM,0.3251329293385727,0.6395269757014614,0.6257937595512606,0.2567860303029302,0.30236091242506563,-0.6066049438390123,0.6267069454289433,0.6102686655117459,1.0,0.39694335462033814,-0.0766339221984445,0.6631323343234473,0.6409040811012681,0.3039111261691314,0.2625634526214718,0.529115821233577,-0.2334387287565326,-0.30000424520007685,-0.5730327538334268,0.4098866679804529,-0.047341981662797045,-0.016770734339391684,0.24322531862225252,0.12679974860068322,0.8811941336821623,-0.4648906028533707,0.48933956952036034,0.8335614816067827,0.6563926738824593,-0.3378608248317585,0.8506229880733852,0.3495690882032039,-0.7577554914634363,0.8414117714724667,-0.17051851480997857,0.5141477075845611,0.7418193016384802,0.8451396887791743,-0.6738653983692372,0.7102667240164146,0.683382944368165,0.07041611763615926,-0.6690990603077277,-0.49919906521926377,0.7633560030794764,0.8499197603948642,0.7216103001476143,-0.15947185455732835,-0.20534404801903133,-0.4008076017468716,0.3312736259792961,-0.2776280080030012,-0.5756586810018212,-0.6335532816500038,0.38415541075584864,0.5609349651758614,0.4552153151774893,0.5902415887049401,0.22063938385221554,0.5190064242500153,0.779174702364218,-0.4405300231754623,-0.7948011738401296,0.2595725529775051,-0.8324532250774537,0.6944637586952767,-0.1386867133870069,0.4106263193027922,0.9316614903136612,0.22155890793751437,0.7294600419498573,0.7324548784645744,0.9237765547080851,0.583465815037792,0.7809747648610975,0.7623295524392856,0.8418847714620808,0.2835459349367072,0.22788630008423194,0.6191486606698325,0.3207614586290873,-0.3281522560129493,0.8242756872148576,0.8362303094642096,-0.11030147908802934,0.0006815783045636572,0.012931963113033814,0.8608864851960325,0.6303020702045801,0.2863026354122109,0.9368343662027505,0.7360154576318704,0.7092309725700131,0.8667055571484721,-0.4745159605974868,0.16620953456075677,0.7327065817714596,-0.6139019425872915,0.043482746188211074,-0.014103694820238833
EBAY,0.02254610671717663,0.27247057851065115,0.5999894627364899,0.2534661905877881,-0.06018865596175321,0.11636671875692756,0.34312124795555,0.681168027803431,0.39694335462033814,1.0,0.567092789938569,0.5560630027487314,0.14843929802634193,0.057718327486568466,0.5177208141799724,0.04572145337256494,0.09269226581758223,0.4655727526542413,-0.0034117010995013738,0.1044965020897537,0.4351877988734594,0.3392515893625865,0.21863206445496483,0.03880147802281124,0.5150211266692191,-0.045383532469619424,0.3040898306175921,0.38073312536424814,0.44372896085483055,0.10665844415367302,0.5575397971290392,0.009025276300403418,-0.2836267456235655,0.31054129485760074,0.13913299699557471,-0.04591704337550633,0.603204557415598,0.37812313080396326,-0.307941296019702,0.20233615732405963,0.41308122340187636,-0.16987119935898248,0.08637413199163907,-0.05547499787142565,0.33896298993644847,0.4918494915553817,0.38035017525472575,0.2042661465123155,0.0761341870692906,-0.18852874233024433,0.1831836548684377,-0.14901743571734358,-0.17817877280753786,-0.22367988630133087,0.0047781845164990506,0.6176809081009313,0.09702641865697802,0.3071892799181349,0.04070705386544728,0.5415329454962945,0.5017168553222541,0.03587028017973536,-0.11878497798614517,0.09600333977439157,-0.1905832241833868,0.2824276636752397,0.4433626872261474,0.39643166831890614,0.4286798904912388,-0.024078625413401906,0.3241149143841331,0.3646144518196589,0.3985468332746953,-0.6849370992573529,0.5342235144042313,0.3321212074739944,0.38225936707588837,0.15533501795081758,0.5129135125366195,0.3198510299803,0.24952015547598913,-0.20230528278770352,0.3929309972838248,0.4626139076873782,0.04936305660859275,0.025778683208939755,0.2735827262307834,0.44477724359118526,0.3424440962296185,-0.06417155336268467,0.4918926106801309,0.3254866733350089,0.7296629543075898,0.5101453544263306,0.20110544721145307,0.0120187179395009,0.4084419118919631,-0.03546551112286927,-0.01133022285024287,0.08530964385254644
