Date,AAPL,AMZN,BitcoinUSD,CBOE,Crude_Oil,DowJonesInd,FB,GoldJun,GOOG,IMMU,JNUG,Nasdaq,Netflix,Nikkei225,Russel2000,S&P500,TGTCorp,TSLA,USDJPY,WLL
2019-02-04,168.315582,1633.310059,3459.154053,15.73,54.560001,25239.369141,169.25,1314.300049,1132.800049,15.15,55.171822,7347.540039,351.339996,20883.769531,1517.540039,2724.870117,69.806366,312.890015,109.438004,30.07
2019-02-05,171.195389,1658.810059,3466.357422,15.57,53.66,25411.519531,171.160004,1314.199951,1145.98999,14.97,56.613247,7402.080078,355.809998,20844.449219,1520.22998,2737.699951,70.124359,321.350006,109.960999,28.75
2019-02-06,171.254364,1640.26001,3413.767822,15.38,54.009998,25390.300781,170.490005,1309.5,1115.22998,14.78,53.133942,7375.279785,352.190002,20874.060547,1518.02002,2731.610107,69.873817,317.220001,109.941002,28.799999
2019-02-07,168.01091,1614.369995,3399.47168,16.370001,52.639999,25169.529297,166.380005,1309.400024,1098.709961,14.35,50.698429,7288.350098,344.709991,20751.279297,1505.630005,2706.050049,69.247444,307.51001,109.973999,26.950001
2019-02-08,168.208328,1588.219971,3666.780273,15.72,52.720001,25106.330078,167.330002,1313.699951,1095.060059,14.04,54.078327,7298.200195,347.570007,20333.169922,1506.390015,2707.879883,68.30307,305.799988,109.755997,26.379999
2019-02-11,167.240967,1591,3671.203613,15.97,null,25053.109375,165.789993,null,1095.01001,13.93,51.791924,7307.899902,345.730011,20864.210938,1518.97998,2709.800049,67.599625,312.839996,109.809998,26.67
2019-02-12,168.682114,1638.01001,3690.188232,15.43,52.41,25425.759766,165.039993,1307,1121.369995,13.84,52.239262,7414.620117,359.970001,21144.480469,1538.22998,2744.72998,67.850166,311.809998,110.400002,27.25
2019-02-13,167.981277,1640,3648.430664,15.65,53.099998,25543.269531,164.070007,1309.199951,1120.160034,14.3,51.891335,7420.379883,351.769989,21139.710938,1542.939941,2753.030029,69.931633,308.170013,110.514999,27.719999
2019-02-14,168.593292,1622.650024,3653.528564,16.219999,53.900002,25439.390625,163.949997,1310.800049,1121.670044,14.01,53.879505,7426.950195,359.070007,20900.630859,1545.109985,2745.72998,69.555809,303.769989,110.922997,28.639999
2019-02-15,168.218201,1607.949951,3632.070557,14.91,54.41,25883.25,162.5,1309.800049,1113.650024,14.23,57.060589,7472.410156,356.869995,21281.849609,1569.25,2775.600098,70.191811,307.880005,110.538002,29.360001
2019-02-19,168.721588,1627.579956,3616.880859,14.88,55.59,25891.320313,162.289993,1318.099976,1118.560059,14.31,64.118607,7486.77002,361.920013,21302.650391,1574.469971,2779.76001,71.26123,305.640015,110.564003,29.290001
2019-02-20,169.807388,1622.099976,3620.810791,14.02,null,25954.439453,162.559998,null,1113.800049,14.36,64.715057,7489.069824,359.910004,21431.490234,1581.660034,2784.699951,70.68763,302.559998,110.591003,29.870001
2019-02-21,168.84993,1619.439941,3629.787598,14.46,56.09,25850.630859,160.039993,1340.099976,1096.969971,14.31,60.838116,7459.709961,356.970001,21464.230469,1575.550049,2774.879883,70.026543,291.230011,110.571999,29.07
2019-02-22,170.735229,1631.560059,3673.836182,13.51,56.919998,26031.810547,161.889999,1343.300049,1110.369995,14.89,61.43457,7527.540039,363.019989,21425.509766,1590.060059,2792.669922,70.240425,294.709991,110.764999,29.07
2019-02-25,171.978958,1633,3915.714355,14.85,56.959999,26091.949219,164.619995,1323.5,1109.400024,15.18,58.154079,7554.459961,363.910004,21528.230469,1588.810059,2796.110107,71.066788,298.769989,110.708,28.34
2019-02-26,172.077667,1636.400024,3947.094482,15.17,57.259998,26057.980469,164.130005,1329.199951,1115.130005,16.24,59.396687,7549.299805,364.970001,21449.390625,1577.47998,2793.899902,70.279312,297.859985,110.772003,28.129999
2019-02-27,172.610687,1641.089966,3999.820557,14.7,null,25985.160156,162.809998,null,1116.050049,16.5,55.668865,7554.509766,362.869995,21556.509766,1581.050049,2792.379883,70.989006,314.73999,111.045998,25.01
